Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Response,cluster
-1.4155463915520143,-0.8252176496158384,-0.9298943792539408,-0.003777284436636,-0.8912804829664238,-0.4602649833868953,-0.6910686684368205,-0.4673553535199639,-0.6072732556138208,-0.5947925083225005,-0.6858866249126978,-0.7504503290950897,-0.9108984919135952,-0.8584550962200763,0.6939037392619777,3.5696402183334324,-0.2838301877786302,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
0.4771352477279676,-0.8252176496158384,0.9069340242106336,-0.6599455522865585,0.3448933478059922,-0.2842288114839142,0.084417173028031,2.0776498561268517,0.2650039630445306,-0.5564458572369358,0.349413940993261,0.3294268039924911,0.1156381281869179,2.218247968632677,-0.9548306823204462,-0.2801402771248674,-0.2838301877786302,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
0.7878549444293839,-0.8252176496158384,0.9069340242106336,0.3415744354843757,2.0684049387867645,-0.6614491798474453,-0.403031070178447,-0.6870680334894731,-0.6557331010948404,-0.6523124849508475,0.349413940993261,-0.3904912847325628,0.4578170015537556,0.987566742691576,1.1060873446575836,-0.2801402771248674,3.523233408773057,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1
-0.921223233030116,1.0325587676097676,-0.9298943792539408,-0.2109883163892431,-0.825905905377498,-0.6614491798474453,-0.7132254067643876,-0.6870680334894731,-0.6557331010948404,-0.8056990892931061,-0.6858866249126978,-1.1104093734576166,-0.9108984919135952,-0.8584550962200763,1.1060873446575836,-0.2801402771248674,-0.2838301877786302,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1
-1.9103089839468512,-0.8252176496158384,0.9069340242106336,-1.696000712049594,-0.8556216224633734,-0.5608570816171703,-0.686637320771307,-0.6504492534945548,-0.5588134101328013,5.310591758854455,-1.203536907865677,7.528607691243029,-0.9108984919135952,-1.7814660156759023,-1.779197893111658,-0.2801402771248674,-0.2838301877786302,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
1.5038125690478954,-0.8252176496158384,-0.9298943792539408,-1.1089027881838738,0.3211207741372918,-0.108192639580933,-0.1548756009096945,0.3931859763606139,0.022704735639433,2.664672833950495,-0.6858866249126978,2.489181070167653,1.142174748287431,0.6798964362063006,-0.5426470769248403,-0.2801402771248674,-0.2838301877786302,3.5696402183334324,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
1.1891379674900326,-0.8252176496158384,-0.9298943792539408,-0.0383124564287372,2.008973504615014,0.269027728782598,0.4344936386035925,-0.0462393835784045,3.293744305608252,-0.2496726485524186,-0.6858866249126978,-0.3904912847325628,1.142174748287431,1.910577662147402,0.2817201338663717,-0.2801402771248674,-0.2838301877786302,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0
-0.1379523287842085,1.0325587676097676,0.9069340242106336,1.6539109711842206,-0.8288774770860856,-0.6614491798474453,-0.6910686684368205,-0.6321398634970958,-0.6557331010948404,-0.5564458572369358,-0.6858866249126978,-1.1104093734576166,-0.9108984919135952,-0.8584550962200763,-0.5426470769248403,-0.2801402771248674,-0.2838301877786302,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
1.012126013763628,-0.8252176496158384,-0.9298943792539408,1.5157702832158158,0.2022579057937903,-0.0830446150233642,0.9618240107996916,3.8902794658753024,-0.3649740282087232,1.2266734182418204,-0.6858866249126978,-0.0305322403700358,0.7999958749205932,0.987566742691576,-1.3670142877160525,-0.2801402771248674,-0.2838301877786302,-0.2801402771248674,3.8151743807532,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
-0.7463685001345004,-0.8252176496158384,0.9069340242106336,0.0652930595475662,-0.7219008955769342,-0.6614491798474453,-0.726519449760928,-0.6870680334894731,-0.6557331010948404,-0.7098324615791944,-0.6858866249126978,-1.1104093734576166,-0.5687196185467573,-0.8584550962200763,-0.1304634715292342,-0.2801402771248674,-0.2838301877786302,-0.2801402771248674,-0.2621112169983113,-0.1165103456070926,-0.0972816652688282,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
